razvijenost_rank,jls,zupanija,razvojna_skupina,dohodak,prihodi,obrazovanje
1,Kostrena,Primorsko-goranska,8,37199.28,9944.66,0.3917
2,Medulin,Istarska,8,35982.54,8090.68,0.3525
3,Grad Zagreb,Zagreb,8,44733.21,6232.49,0.3935
4,Dubrovnik,Dubrovačko-neretvanska,8,38130.42,7394.93,0.3562
5,Omišalj,Primorsko-goranska,8,38216.62,8607.77,0.2842
6,MALINSKA-DUBAŠNICA,Primorsko-goranska,8,30940.95,8939.06,0.2688
7,Funtana - Fontane,Istarska,8,30155.04,11309.64,0.2135
8,Poreč - Parenzo,Istarska,8,37539.78,6820.12,0.2345
9,Krk,Primorsko-goranska,8,35240.93,6449.64,0.2459
10,Fažana - Fasana,Istarska,8,35891.96,6426.91,0.2559
11,Punat,Primorsko-goranska,8,35977.94,7814.59,0.2484
12,Rovinj - Rovigno,Istarska,8,39437.86,7110.73,0.2555
13,Župa dubrovačka,Dubrovačko-neretvanska,8,34265.29,3899.6,0.2127
14,Bol,Splitsko-dalmatinska,8,30710.92,8929.96,0.2139
15,Viškovo,Primorsko-goranska,8,31583.54,2890.9,0.2305
16,Umag - Umago,Istarska,8,35106.69,6720.07,0.2183
17,Sutivan,Splitsko-dalmatinska,8,29971.57,10186.89,0.2715
18,Sveta Nedelja,Zagrebačka,8,43803.04,4019.45,0.1932
19,Baška,Primorsko-goranska,8,33297.77,11782.16,0.259
20,Vrsar - Orsera,Istarska,8,36442.13,9112.41,0.1374
21,Hvar,Splitsko-dalmatinska,8,30723.23,7318.32,0.2342
22,Bale - Valle,Istarska,8,37077.9,6949.99,0.143
23,Kolan,Zadarska,8,26849.92,10371.73,0.1656
24,Opatija,Primorsko-goranska,8,39279.03,7626,0.3814
25,Zaprešić,Zagrebačka,8,39016.65,3847.97,0.2508
26,Konavle,Dubrovačko-neretvanska,8,38829.82,4735.37,0.2403
27,Mali Lošinj,Primorsko-goranska,8,35107.1,6599.8,0.215
28,Cres,Primorsko-goranska,8,36302.24,6610.31,0.2164
29,Tar Vabriga - Torre-Abrega,Istarska,8,28106.2,7703.25,0.1307
30,Kastav,Primorsko-goranska,8,35379.24,3178.51,0.307
31,Varaždin,Varaždinska,8,37885.77,3797.74,0.3262
32,Samobor,Zagrebačka,8,40939.42,3944.37,0.2338
33,Biograd na Moru,Zadarska,8,29528.78,5230.53,0.2217
34,Ližnjan - Lisignano,Istarska,8,29341.52,2826.71,0.208
35,Vrbnik,Primorsko-goranska,8,34546.6,6092.17,0.2398
36,Novalja,Ličko-senjska,8,25673.64,9062.54,0.174
37,Makarska,Splitsko-dalmatinska,8,29114.61,4393.68,0.2375
38,Vir,Zadarska,8,17291.7,15145.08,0.1495
39,Pula - Pola,Istarska,8,36856.44,4012.64,0.2856
40,Dobrinj,Primorsko-goranska,8,33224.85,5728.55,0.196
