razvijenost_rank,jls,zupanija,razvojna_skupina,dohodak,prihodi,obrazovanje
41,Baška Voda,Splitsko-dalmatinska,8,24261.7,7243.78,0.2092
42,Zadar,Zadarska,8,30281.84,3437.09,0.3085
43,Supetar,Splitsko-dalmatinska,8,30407.27,4365.98,0.2305
44,Buzet,Istarska,8,37550.91,3568.25,0.1944
45,Crikvenica,Primorsko-goranska,8,30919.93,6278.97,0.2581
46,Novigrad - Cittanova,Istarska,8,32624.1,7743.09,0.0821
47,Koprivnica,Koprivničko-križevačka,8,34863.71,3165.08,0.2504
48,Bakar,Primorsko-goranska,8,32019.04,5451.25,0.2003
49,Podstrana,Splitsko-dalmatinska,8,22515.43,2586.88,0.2577
50,Pazin,Istarska,8,36216.93,3317.91,0.229
51,Kanfanar,Istarska,8,34371.23,3920.75,0.1648
52,Brela,Splitsko-dalmatinska,8,28184.69,5731.21,0.2252
53,Vodnjan - Dignano,Istarska,8,28785.03,5279.84,0.1444
54,Matulji,Primorsko-goranska,8,35233.61,2959.84,0.2329
55,Velika Gorica,Zagrebačka,8,35136.58,2778.76,0.206
56,Čakovec,Međimurska,8,31664.07,2721.41,0.2525
57,Rijeka,Primorsko-goranska,8,38186.85,4302.01,0.3277
58,Stupnik,Zagrebačka,8,30720.22,4161.63,0.1588
59,Marčana,Istarska,8,32194.12,3481.4,0.1789
60,Labin,Istarska,8,37792.34,4428.56,0.2506
61,Split,Splitsko-dalmatinska,8,33308.78,3402.41,0.3539
62,Zabok,Krapinsko-zagorska,8,36203.1,3222.76,0.2063
63,KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA,Istarska,8,29060.59,3381.86,0.1598
64,Tučepi,Splitsko-dalmatinska,7,24191.83,5401.97,0.2107
65,Kršan,Istarska,7,35114.6,7511.73,0.1284
66,Šenkovec,Međimurska,7,32294.32,1846.15,0.2126
67,Solin,Splitsko-dalmatinska,7,27125.2,2820.58,0.1921
68,Lovran,Primorsko-goranska,7,34924.2,5202.51,0.2951
69,Dugi Rat,Splitsko-dalmatinska,7,35914.35,2390.97,0.1925
70,MOŠĆENIČKA DRAGA,Primorsko-goranska,7,32564.72,5892.33,0.2528
71,Kali,Zadarska,7,34920.58,3345.33,0.1488
72,Dugopolje,Splitsko-dalmatinska,7,26089.48,5936.3,0.0937
73,Postira,Splitsko-dalmatinska,7,28163.78,3982.79,0.195
74,Lopar,Primorsko-goranska,7,23537.42,6231.33,0.1339
75,Pićan,Istarska,7,33085.23,5013.54,0.1281
76,Dugo Selo,Zagrebačka,7,28823.82,1951.01,0.1589
77,Kraljevica,Primorsko-goranska,7,31462.59,2934.4,0.2503
78,Sveti Lovreč,Istarska,7,34897.99,3236.56,0.1058
79,Stubičke Toplice,Krapinsko-zagorska,7,33901.26,2732.23,0.2296
80,Nin,Zadarska,7,22932.07,6182.43,0.151
81,Tinjan,Istarska,7,33211.09,2781.01,0.1542
82,Novi Vinodolski,Primorsko-goranska,7,29746.53,5017.22,0.2137
83,Rab,Primorsko-goranska,7,29956.7,4023.2,0.1752
84,Vis,Splitsko-dalmatinska,7,29537.02,4871.18,0.2383
85,Čavle,Primorsko-goranska,7,31371.98,2591.81,0.1789
86,Osijek,Osječko-baranjska,7,33322.88,2493.59,0.2839
87,Žminj,Istarska,7,34390.41,2137.91,0.148
88,Šibenik,Šibensko-kninska,7,32319.69,2782.69,0.2491
89,Brdovec,Zagrebačka,7,32887.18,2155.91,0.1453
90,Murter - Kornati,Šibensko-kninska,7,23111.11,4797.14,0.2073
91,Korčula,Dubrovačko-neretvanska,7,27624.86,3394.71,0.2625
92,Sveti Petar u Šumi,Istarska,7,31915.29,2057.34,0.134
93,Okrug,Splitsko-dalmatinska,7,21872.24,4432.84,0.223
94,Višnjan - Visignano,Istarska,7,31773.77,2687.39,0.1256
95,Vodice,Šibensko-kninska,7,22437.88,4478.65,0.1991
96,Milna,Splitsko-dalmatinska,7,28665.27,4981.55,0.1911
97,Trogir,Splitsko-dalmatinska,7,27662.08,3917.17,0.2098
98,Primošten,Šibensko-kninska,7,27078.39,6898.18,0.1678
99,Karlovac,Karlovačka,7,34180.05,2656.02,0.262
100,Vižinada - Visinada,Istarska,7,29606.54,2827,0.1321
101,Buje - Buie,Istarska,7,29167.29,3017.99,0.183
102,Ludbreg,Varaždinska,7,29422.09,2018.12,0.1698
103,Rogoznica,Šibensko-kninska,7,25379.33,8062.53,0.1854
104,Tkon,Zadarska,7,25087.14,3944.78,0.1342
105,Podgora,Splitsko-dalmatinska,7,25276.09,5242.03,0.2451
106,Privlaka,Zadarska,7,23557.15,4093.07,0.1533
107,Lastovo,Dubrovačko-neretvanska,7,29804.41,2865.58,0.2403
108,Pušća,Zagrebačka,7,33549.61,2217.11,0.1404
109,Sveta Nedelja,Istarska,7,33203.18,3276.98,0.1527
110,Jelsa,Splitsko-dalmatinska,7,25772.37,3641.21,0.2469
111,Gračišće,Istarska,7,30502.74,2153.23,0.133
112,Stari Grad,Splitsko-dalmatinska,7,26961.11,3868.55,0.1924
113,Brtonigla - Verteneglio,Istarska,7,27103.9,5110.42,0.1035
114,Tisno,Šibensko-kninska,7,24465.17,4925.12,0.1817
115,Jastrebarsko,Zagrebačka,7,32188.75,2570.85,0.1612
116,Krapina,Krapinsko-zagorska,7,33085.78,2017.77,0.1948
117,Jelenje,Primorsko-goranska,7,30112.41,1915.08,0.1343
118,Kukljica,Zadarska,7,31036.82,5085.66,0.1493
119,Oroslavje,Krapinsko-zagorska,7,32613.71,1944.99,0.1722
120,Jasenice,Zadarska,7,29542.34,3546.21,0.115
121,Kaštela,Splitsko-dalmatinska,7,24423.97,2320.26,0.1849
122,Pag,Zadarska,7,26391.13,4883.64,0.2104
123,Raša,Istarska,7,35069.52,4046.28,0.1421
124,Bistra,Zagrebačka,7,30918.61,2112.27,0.1222
125,Svetvinčenat,Istarska,7,32240.37,2644.97,0.1209
126,Barban,Istarska,7,35859.42,2492,0.1687
127,Pašman,Zadarska,6,26039.67,3738.68,0.1643
128,Lupoglav,Istarska,6,33256.88,2450.49,0.1268
129,Fužine,Primorsko-goranska,6,38957.15,5851.8,0.1539
130,Orebić,Dubrovačko-neretvanska,6,21518.57,2799.24,0.2527
131,Marija Gorica,Zagrebačka,6,30901.8,2067.43,0.1493
132,Delnice,Primorsko-goranska,6,33228.01,2771.1,0.2134
133,IVANIĆ-GRAD,Zagrebačka,6,30494.63,2800.27,0.1577
134,Klana,Primorsko-goranska,6,33452.73,2610.63,0.1325
135,Sukošan,Zadarska,6,23612.82,2523.03,0.1456
136,Zlatar Bistrica,Krapinsko-zagorska,6,30760.03,1759.31,0.1658
137,Trpanj,Dubrovačko-neretvanska,6,22786.87,3026.78,0.3588
138,Gornji Kneginec,Varaždinska,6,30824.93,2161.54,0.1257
139,Blato,Dubrovačko-neretvanska,6,27846.81,2462.77,0.1772
140,Gospić,Ličko-senjska,6,32140.96,2290.83,0.2139
141,Starigrad,Zadarska,6,27160.58,4805.48,0.1067
142,Omiš,Splitsko-dalmatinska,6,26445.03,2966.54,0.1801
143,Tribunj,Šibensko-kninska,6,22477.81,4889.73,0.1581
144,Vinodolska općina,Primorsko-goranska,6,30219.48,3761.7,0.1608
145,Klinča Sela,Zagrebačka,6,29261.37,1611.41,0.1207
146,Vinkovci,Vukovarsko-srijemska,6,26893.74,1777.08,0.2143
147,Bilice,Šibensko-kninska,6,23912.72,2018.3,0.1316
148,Mljet,Dubrovačko-neretvanska,6,28510.64,3326.74,0.1833
149,Hum na Sutli,Krapinsko-zagorska,6,34238.76,2521.49,0.1066
150,Motovun - Montona,Istarska,6,23940.65,3418.46,0.1365
151,Lumbarda,Dubrovačko-neretvanska,6,21754.39,2514.04,0.2108
152,Klis,Splitsko-dalmatinska,6,25790.88,2171.44,0.1374
153,Krapinske Toplice,Krapinsko-zagorska,6,32365.09,1855.87,0.1624
154,Sveti Filip i Jakov,Zadarska,6,23517.02,3025.35,0.1284
155,Strahoninec,Međimurska,6,29320.48,1494.74,0.1342
156,Povljana,Zadarska,6,22215.76,6542.35,0.2075
157,Dubrovačko primorje,Dubrovačko-neretvanska,6,33324.38,3315.35,0.1712
158,Karojba,Istarska,6,30127.13,1429.12,0.1007
159,Grožnjan - Grisignana,Istarska,6,24466.98,3980.9,0.1444
160,Donja Stubica,Krapinsko-zagorska,6,26616.04,1477.19,0.1343
161,Požega,Požeško-slavonska,6,27519.01,1695.97,0.2208
162,Bjelovar,Bjelovarsko-bilogorska,6,28846.85,2044.87,0.1928
163,Ston,Dubrovačko-neretvanska,6,25524.3,3222.39,0.1565
164,Pakoštane,Zadarska,6,20713.29,2945.67,0.1125
165,Veliki Bukovec,Varaždinska,6,39271.52,1281.52,0.0804
166,Sisak,Sisačko-moslavačka,6,33082.6,2993.1,0.2149
167,Ploče,Dubrovačko-neretvanska,6,29193.2,1803.3,0.2239
168,Varaždinske Toplice,Varaždinska,6,29389.6,1483.07,0.1323
169,Križevci,Koprivničko-križevačka,6,25605.68,1625.79,0.1755
170,Sali,Zadarska,6,32327.28,3964.08,0.1912
171,Šolta,Splitsko-dalmatinska,6,29419.17,5496.23,0.2734
172,Seget,Splitsko-dalmatinska,6,25452.58,2959.09,0.1693
173,Pirovac,Šibensko-kninska,6,21806.76,3995.95,0.1569
174,Kutina,Sisačko-moslavačka,6,30289.92,2457.55,0.1724
175,Virovitica,Virovitičko-podravska,6,27885.64,2011.39,0.185
176,Konjščina,Krapinsko-zagorska,6,30181.62,1374.15,0.1441
177,Ivanec,Varaždinska,6,28355.01,1486.77,0.1425
178,Trnovec Bartolovečki,Varaždinska,6,29135.96,1565.21,0.0994
179,Slavonski Brod,Brodsko-posavska,6,26482.04,1671.55,0.2111
180,Vrbovec,Zagrebačka,6,26289.64,1490.77,0.1402
181,Gradac,Splitsko-dalmatinska,6,19440.68,3173.12,0.2667
182,Prelog,Međimurska,6,26090.43,1781.74,0.1241
183,Bibinje,Zadarska,6,21100.3,2337.31,0.1171
184,Pučišća,Splitsko-dalmatinska,6,26396.19,2592.33,0.1223
185,Sveti Ivan Zelina,Zagrebačka,6,27700.02,1772.01,0.125
186,Nerežišća,Splitsko-dalmatinska,6,26623.16,3285.75,0.1105
187,Luka,Zagrebačka,6,27558.52,3112.98,0.0752
188,Sveti Ilija,Varaždinska,6,27433.91,1263.03,0.1101
189,Duga Resa,Karlovačka,6,32490.81,1653.2,0.175
190,Nedelišće,Međimurska,5,25502.38,1413.69,0.1165
191,Novi Marof,Varaždinska,5,27257.96,1151.96,0.1195
192,Daruvar,Bjelovarsko-bilogorska,5,28815.62,1698.84,0.2123
193,Preko,Zadarska,5,28912.14,3552.74,0.169
194,Ogulin,Karlovačka,5,29447.41,1807.61,0.1726
195,Jakovlje,Zagrebačka,5,29742.5,1790.6,0.0863
196,Karlobag,Ličko-senjska,5,25519.15,7075.18,0.1569
197,Đurđevac,Koprivničko-križevačka,5,24422.9,2805.91,0.1657
198,Vrsi,Zadarska,5,20224.86,4444.4,0.1151
199,Cerovlje,Istarska,5,28268.24,1666.05,0.1061
200,Marija Bistrica,Krapinsko-zagorska,5,29382.75,2070.04,0.1078
201,Veliko Trgovišće,Krapinsko-zagorska,5,28076.65,1620.69,0.1245
202,Ljubešćica,Varaždinska,5,26141.11,1848.9,0.0903
203,Zlatar,Krapinsko-zagorska,5,26135.61,1464.62,0.1192
204,Novigrad,Zadarska,5,24664.52,1937.47,0.1893
205,Vela Luka,Dubrovačko-neretvanska,5,24918.36,2160.28,0.1823
206,Bedekovčina,Krapinsko-zagorska,5,26698.03,1284.51,0.1185
207,Sračinec,Varaždinska,5,25790.96,1216.13,0.0764
208,Senj,Ličko-senjska,5,30514.79,3192.04,0.1841
209,Plitvička jezera,Ličko-senjska,5,31213.72,2439.97,0.1441
210,Komiža,Splitsko-dalmatinska,5,28120,2976.69,0.1642
211,Sveti Križ Začretje,Krapinsko-zagorska,5,27399.16,1461.39,0.1037
212,Pisarovina,Zagrebačka,5,26401.29,2448.03,0.0986
213,Sinj,Splitsko-dalmatinska,5,24794.2,1246,0.1666
214,Radoboj,Krapinsko-zagorska,5,28673.82,1430.43,0.1034
215,Orahovica,Virovitičko-podravska,5,26988.31,1973.79,0.1867
216,Kravarsko,Zagrebačka,5,26816.03,1461.19,0.0901
217,Posedarje,Zadarska,5,23396.4,1737.03,0.0963
218,Križ,Zagrebačka,5,28116.82,2306.08,0.1181
219,Sveti Juraj na Bregu,Međimurska,5,22753.13,1122.89,0.0951
220,Selca,Splitsko-dalmatinska,5,24838.65,2835.92,0.1585
221,Zemunik Donji,Zadarska,5,28440.28,2226.07,0.0941
222,Oprtalj - Portole,Istarska,5,24880.41,2824.39,0.1458
223,Kalinovac,Koprivničko-križevačka,5,22295.14,5347.9,0.1173
224,Beretinec,Varaždinska,5,25949.24,1130.82,0.0764
225,Lokve,Primorsko-goranska,5,30509.15,3203.25,0.1498
226,Metković,Dubrovačko-neretvanska,5,21136.99,1218.56,0.1984
227,Klanjec,Krapinsko-zagorska,5,29863.15,1547.33,0.1092
228,Poličnik,Zadarska,5,22856.28,1623.85,0.0678
229,Zadvarje,Splitsko-dalmatinska,5,27861.89,5183.4,0.2089
230,Ravna Gora,Primorsko-goranska,5,33964,2629.73,0.1271
231,Kloštar Ivanić,Zagrebačka,5,24323.54,1791.25,0.098
232,Smokvica,Dubrovačko-neretvanska,5,22223.41,1889.63,0.1962
233,Ražanac,Zadarska,5,21717.19,2073.47,0.1266
234,Našice,Osječko-baranjska,5,26078.2,1609.64,0.1788
235,Sveta Marija,Međimurska,5,26576.71,1342.72,0.0915
236,Mursko Središće,Međimurska,5,21298.75,1389.76,0.1219
237,Marina,Splitsko-dalmatinska,5,23667.24,3173.07,0.1061
238,Pregrada,Krapinsko-zagorska,5,27778.42,1309.32,0.0909
239,Vidovec,Varaždinska,5,24148.8,988.25,0.0869
240,Rugvica,Zagrebačka,5,22703.1,1688.01,0.0741
241,Drniš,Šibensko-kninska,5,30149.08,1522.92,0.1695
242,Antunovac,Osječko-baranjska,5,25823.7,1238.66,0.0873
243,Opuzen,Dubrovačko-neretvanska,5,20878.44,1912.88,0.208
244,Donji Kraljevec,Međimurska,5,24383.53,1311.05,0.121
245,Novi Golubovec,Krapinsko-zagorska,5,24197.59,1597.87,0.0722
246,Čabar,Primorsko-goranska,5,30202.47,2000.53,0.1625
247,Đurmanec,Krapinsko-zagorska,5,27738.17,1178.18,0.0877
248,Škabrnja,Zadarska,5,23974.66,947.7,0.0765
249,Ozalj,Karlovačka,5,27460.63,2164.07,0.1097
250,Jesenje,Krapinsko-zagorska,5,25078.6,1775.14,0.0904
251,Pribislavec,Međimurska,5,20937.74,1078.45,0.0892
252,Rakovica,Karlovačka,5,30027.44,2442.39,0.0679
253,Draganić,Karlovačka,4,25893.6,1571.51,0.1309
254,Tuhelj,Krapinsko-zagorska,4,27294.24,1832.53,0.0879
255,Bilje,Osječko-baranjska,4,25471.1,1487.7,0.1382
256,Galovac,Zadarska,4,23842.61,941.95,0.0575
257,Polača,Zadarska,4,20284.8,1990.77,0.088
258,Jalžabet,Varaždinska,4,20940.49,1333.68,0.0743
259,Popovača,Sisačko-moslavačka,4,24675.09,2404.35,0.0989
260,Županja,Vukovarsko-srijemska,4,24459.28,1872.68,0.1865
261,Petrijanec,Varaždinska,4,21103.9,1168.67,0.0695
262,Sveti Martin na Muri,Međimurska,4,20461.1,1421.47,0.0828
263,Đakovo,Osječko-baranjska,4,22348.91,1252.1,0.1541
264,Valpovo,Osječko-baranjska,4,25568.75,1387.24,0.1564
265,Brckovljani,Zagrebačka,4,22541.73,1758.71,0.0734
266,Bedenica,Zagrebačka,4,25490.11,1382.27,0.0621
267,Lipovljani,Sisačko-moslavačka,4,26221.51,2132.87,0.0898
268,Vinica,Varaždinska,4,24227.33,1274.8,0.0902
269,Dubravica,Zagrebačka,4,27853.03,1604.37,0.0991
270,Lekenik,Sisačko-moslavačka,4,27673.59,1684.73,0.084
271,Breznica,Varaždinska,4,22224.57,1269.05,0.0606
272,Otočac,Ličko-senjska,4,25881.66,1757.77,0.144
273,Vukovar,Vukovarsko-srijemska,4,29068.72,1535.17,0.201
274,Maruševec,Varaždinska,4,25345.23,878.32,0.0906
275,Kotoriba,Međimurska,4,22129.21,1296.71,0.0945
276,Nova Gradiška,Brodsko-posavska,4,25030.4,1785.58,0.1781
277,Lepoglava,Varaždinska,4,23045.31,1069.14,0.1154
278,Klenovnik,Varaždinska,4,24961.73,1018.11,0.0855
279,Josipdol,Karlovačka,4,26336.18,1515.98,0.1101
280,Gornji Mihaljevec,Međimurska,4,22772.99,1289.54,0.0647
281,Donji Miholjac,Osječko-baranjska,4,24094.43,1353.4,0.1476
282,Hrašćina,Krapinsko-zagorska,4,25452.06,1246.61,0.0852
283,Gornja Stubica,Krapinsko-zagorska,4,24529.08,1282.74,0.0825
284,Kumrovec,Krapinsko-zagorska,4,27645.34,1348.04,0.0996
285,Čepin,Osječko-baranjska,4,24915.51,1351.85,0.1106
286,Benkovac,Zadarska,4,20837.33,1143.38,0.0818
287,Goričan,Međimurska,4,22570.62,1188.5,0.0765
288,Dicmo,Splitsko-dalmatinska,4,21572.81,1092.7,0.0664
289,Mrkopalj,Primorsko-goranska,4,33059.05,3062.99,0.1356
290,Koprivnički Ivanec,Koprivničko-križevačka,4,22807.28,1775.09,0.084
291,Bukovlje,Brodsko-posavska,4,19088.83,954.74,0.0859
292,Skrad,Primorsko-goranska,4,37335.97,3066.03,0.1748
293,Dekanovec,Međimurska,4,19446.58,1258.6,0.0774
294,Mače,Krapinsko-zagorska,4,22884.37,930.91,0.0691
295,Vrgorac,Splitsko-dalmatinska,4,25160.04,1255.16,0.1352
296,Petrinja,Sisačko-moslavačka,4,26078.77,1560.47,0.1555
297,Lobor,Krapinsko-zagorska,4,20203.92,950.7,0.0702
298,Breznički Hum,Varaždinska,4,22247.75,1321.48,0.0873
299,Imotski,Splitsko-dalmatinska,4,19794.31,1383.79,0.2074
300,Vrbovsko,Primorsko-goranska,4,32123.46,2133.33,0.1442
301,Klakar,Brodsko-posavska,4,21523.36,953.11,0.0829
302,Čazma,Bjelovarsko-bilogorska,4,24198.97,1660.74,0.1076
303,Kamanje,Karlovačka,4,23332.39,1812.04,0.1152
304,Mihovljan,Krapinsko-zagorska,4,24245.31,1295.55,0.0655
305,Pakrac,Požeško-slavonska,4,27198.11,1550.87,0.1408
306,Novigrad Podravski,Koprivničko-križevačka,4,20275.07,2228.53,0.0992
307,Obrovac,Zadarska,4,20609.67,3384.88,0.1199
308,Molve,Koprivničko-križevačka,4,17284.82,4531.38,0.0779
309,Stankovci,Zadarska,4,21536.71,817.69,0.0698
310,Vratišinec,Međimurska,4,20797.81,946.88,0.0625
311,Petrovsko,Krapinsko-zagorska,4,25107.82,1249.47,0.0759
312,Gradec,Zagrebačka,4,20733.19,1053.52,0.0722
313,Belica,Međimurska,4,21243.12,1245.48,0.0701
314,Budinščina,Krapinsko-zagorska,4,21772.91,1000.21,0.0696
315,Ernestinovo,Osječko-baranjska,4,25435.78,1433.68,0.0808
316,Barilović,Karlovačka,4,25880.06,1469.94,0.0997
317,Đelekovec,Koprivničko-križevačka,4,24512.59,1259.04,0.1222
318,Novska,Sisačko-moslavačka,4,24608.77,1757.53,0.1019
319,Kraljevec na Sutli,Krapinsko-zagorska,4,24930.3,1135.58,0.064
320,Brod Moravice,Primorsko-goranska,4,30059.01,2134.32,0.1857
321,Jakšić,Požeško-slavonska,4,19624.79,822.89,0.1215
322,Drnje,Koprivničko-križevačka,4,23399.62,1166.37,0.0946
323,Velika Ludina,Sisačko-moslavačka,4,21884.81,1815.47,0.0817
324,Belišće,Osječko-baranjska,4,23888.38,1849.77,0.1329
325,Bosiljevo,Karlovačka,4,24248.71,3522.58,0.1006
326,Slatina,Virovitičko-podravska,4,22376.63,1515.6,0.1443
327,Nuštar,Vukovarsko-srijemska,4,21820.23,787.06,0.1084
328,Tovarnik,Vukovarsko-srijemska,4,24116.3,2620.84,0.0949
329,Donja Dubrava,Međimurska,3,23582.71,1226.66,0.1018
330,Mali Bukovec,Varaždinska,3,21429.44,950.56,0.0703
331,Peteranec,Koprivničko-križevačka,3,20295.96,1335.94,0.0786
332,Petrijevci,Osječko-baranjska,3,22569.51,1476.18,0.1008
333,Donji Vidovec,Međimurska,3,21291.55,1153.04,0.0889
334,Orle,Zagrebačka,3,22136.12,1158.08,0.0596
335,Selnica,Međimurska,3,17673.36,974.98,0.0689
336,Lipik,Požeško-slavonska,3,24294.04,1734.64,0.1094
337,Andrijaševci,Vukovarsko-srijemska,3,20543.3,1102.24,0.0723
338,Žakanje,Karlovačka,3,18548.94,1469.77,0.1032
339,Lasinja,Karlovačka,3,25509.63,1867.16,0.0975
340,Sveti Đurđ,Varaždinska,3,20924.61,1055.16,0.0553
341,Cestica,Varaždinska,3,15534.1,1209.43,0.0683
342,Virje,Koprivničko-križevačka,3,19344.02,2029.44,0.0977
343,Sibinj,Brodsko-posavska,3,20697.56,872.93,0.0838
344,Gornja Vrba,Brodsko-posavska,3,17754.53,1273.63,0.0664
345,Jarmina,Vukovarsko-srijemska,3,22062.97,926.45,0.0573
346,Primorski Dolac,Splitsko-dalmatinska,3,24953,1897.21,0.0452
347,Janjina,Dubrovačko-neretvanska,3,20024,5600.64,0.331
348,Koprivnički Bregi,Koprivničko-križevačka,3,22067.05,1034.33,0.0769
349,Krašić,Zagrebačka,3,24117.72,1070.05,0.0843
350,Mala Subotica,Međimurska,3,19492.99,981.93,0.0814
351,Oriovac,Brodsko-posavska,3,20877.58,995.09,0.089
352,Visoko,Varaždinska,3,17983.51,708.73,0.065
353,Podturen,Međimurska,3,17826.45,971.84,0.0559
354,Garešnica,Bjelovarsko-bilogorska,3,22119.15,1257.11,0.1093
355,Štrigova,Međimurska,3,17745.71,1177.96,0.0751
356,Beli Manastir,Osječko-baranjska,3,25612.06,1586.95,0.1724
357,Vođinci,Vukovarsko-srijemska,3,18775.99,879.34,0.0805
358,Domašinec,Međimurska,3,16684.81,1124.45,0.0658
359,Podravske Sesvete,Koprivničko-križevačka,3,16409.28,2946.98,0.0524
360,Brodski Stupnik,Brodsko-posavska,3,21183.59,952.71,0.075
361,Velika,Požeško-slavonska,3,18627.61,1091.5,0.0966
362,Oprisavci,Brodsko-posavska,3,20539.5,896.95,0.0693
363,Hrvace,Splitsko-dalmatinska,3,27106.03,2191.92,0.0763
364,Pokupsko,Zagrebačka,3,21712.17,1396.72,0.053
365,Kutjevo,Požeško-slavonska,3,19869.57,999.82,0.0964
366,Hercegovac,Bjelovarsko-bilogorska,3,23457.7,1409.51,0.1019
367,Otok,Splitsko-dalmatinska,3,18965.58,1563.43,0.0712
368,Knin,Šibensko-kninska,3,23137.23,1361.47,0.1458
369,Bizovac,Osječko-baranjska,3,22340.75,1376.09,0.0927
370,Ivankovo,Vukovarsko-srijemska,3,19598.63,907.06,0.0725
371,Zagorska Sela,Krapinsko-zagorska,3,21017.54,1336.6,0.0747
372,Čeminac,Osječko-baranjska,3,23609.91,1979.94,0.0577
373,Podcrkavlje,Brodsko-posavska,3,18137.94,844.78,0.0778
374,Zmijavci,Splitsko-dalmatinska,3,19104.06,1020.93,0.1818
375,Kula Norinska,Dubrovačko-neretvanska,3,21317.28,889.74,0.1116
376,Kalnik,Koprivničko-križevačka,3,16956,1186.1,0.0752
377,Lovinac,Ličko-senjska,3,25122.5,7470.51,0.1156
378,Promina,Šibensko-kninska,3,24426.74,2180.48,0.1562
379,Slivno,Dubrovačko-neretvanska,3,14785.86,1862.46,0.1991
380,Muć,Splitsko-dalmatinska,3,22996.64,1558.73,0.0414
381,Donji Andrijevci,Brodsko-posavska,3,19588.03,969.14,0.0735
382,Netretić,Karlovačka,3,25765.04,1185.61,0.0725
383,Orehovica,Međimurska,3,13906.01,1033.99,0.0521
384,Garčin,Brodsko-posavska,3,19728.59,908.06,0.0694
385,Hlebine,Koprivničko-križevačka,3,18271.78,1493.35,0.0743
386,Trilj,Splitsko-dalmatinska,3,19229.13,1409.31,0.079
387,Rakovec,Zagrebačka,3,17147.41,791.13,0.0774
388,Vuka,Osječko-baranjska,3,23023.6,1273.46,0.0381
389,Dubrava,Zagrebačka,3,18872.16,984.43,0.0793
390,Lanišće,Istarska,3,30744.23,2179.94,0.1263
391,Sveti Ivan Žabno,Koprivničko-križevačka,3,16668.72,847.81,0.0665
392,Ilok,Vukovarsko-srijemska,3,21561.44,898.32,0.1144
393,Cerna,Vukovarsko-srijemska,3,19321.48,1071.84,0.0635
394,Pleternica,Požeško-slavonska,3,18630.19,831.99,0.091
395,Rasinja,Koprivničko-križevačka,3,18768.38,1054.04,0.0735
396,Pitomača,Virovitičko-podravska,3,17501.22,1410.2,0.0718
397,Vrlika,Splitsko-dalmatinska,3,24393.95,3128.49,0.0783
